,id,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
0,8b30be61-1658-4c01-8607-3493c3da358b,Viblue Jacket noos,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND55,MAINSTREAM,9,blue_light,87CEFA,,3,cold_season,smooth,street,tight,freetime,3
4,e35ab256-d1a0-4608-913a-012390cdd097,Dima Shirt basc ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND89,MAINSTREAM,9,blue_light,87CEFA,shirt,1,cold_season,smooth,classic,tight,working_girl,2
5,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,brown_light,A57E62,,2,warm,smooth,casual,straight,freetime,1
6,016c8e92-c49a-4619-95ef-2b4c8aaf338a,Viril Cardigan noos,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,brown_light,A57E62,cardigan,2,cold_season,smooth,boho,straight,freetime,2
7,8476b4d2-fab9-4451-88f8-c72af3a96cd0,Summ Top cerise,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND15,WHOLE_SALE,9,yellow,FFFF00,tops,2,warm,floral,boho,straight,freetime,2
8,0ce06ab5-eee8-4e70-8a32-6a6e476f25df,Darcy Bag nude ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND133,OWN_PRODUCTION,9,black,000000,,2,warm_season,smooth,classic,,work,3
9,3b0c6093-31bf-4f67-8bf8-d7019dcd8ffb,Onllesly Sweater noos ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,black,000000,sweaters,2,cold_season,smooth,casual,straight,freetime,2
12,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,blue_dark,00008b,,2,warm,smooth,casual,straight,freetime,1
13,06a8e26d-582c-4cb0-b47a-11954f665840,Floaty Shirt sati ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND9,NO_MAINSTREAM,9,black,000000,blouse,3,cold_season,smooth,classic,straight,freetime,2
14,44af71a5-6a2e-41f6-9229-bdf877501aab,Luara Jacket biker ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND105,WHOLE_SALE,9,blue_dark,00008b,,2,cold_season,smooth,street,straight,freetime,3
